rec_est_id;rec_month;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_mf;rec_previous_month_mf;rec_previous_month_mf_delta;rec_month_qtd_mov;rec_previous_month_qtd_mov;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_monthly_category;rec_registered_month;tx_est_id;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;ano
9022;2021-04-01;4;2021;10756.85;0.0;10756.85;15961.69;-5204.84;42;75;-33;256.12;3;7.0;9022;4;0;0;0;0;1;0;0;2021
9022;2021-05-01;5;2021;13047.47;0.0;13047.47;10756.85;2290.62;48;42;6;271.82;3;8.0;9022;5;0;0;0;0;1;0;0;2021
9022;2021-06-01;6;2021;11471.71;0.0;11471.71;13047.47;-1575.76;59;48;11;194.44;3;9.0;9022;6;0;0;0;0;1;0;0;2021
9022;2021-07-01;7;2021;14028.33;0.0;14028.33;11471.71;2556.62;49;59;-10;286.29;3;10.0;9022;7;0;0;0;0;1;0;0;2021
9067;2022-01-01;1;2022;3091.0;0.0;3091.0;890.0;2201.0;1;5;-4;3091.0;3;16.0;9067;1;0;0;0;0;1;0;0;2022
9079;2022-03-01;3;2022;421.44;0.0;421.44;0.0;421.44;3;0;3;140.48;5;18.0;9079;3;0;1;1;1;0;0;0;2022
9079;2022-05-01;5;2022;10455.46;0.0;10455.46;0.0;10455.46;6;0;6;1742.58;5;20.0;9079;5;0;1;0;1;1;0;0;2022
9079;2022-06-01;6;2022;10.0;0.0;10.0;10455.46;-10445.46;1;6;-5;10.0;3;21.0;9079;6;0;1;0;0;0;0;0;2022
9079;2022-08-01;8;2022;0.08;0.0;0.08;0.0;0.08;1;0;1;0.08;5;23.0;9079;8;0;0;0;0;1;0;0;2022
9079;2022-09-01;9;2022;8154.44;0.0;8154.44;0.08;8154.36;7;1;6;1164.92;3;24.0;9079;9;0;0;0;1;1;1;0;2022
9079;2022-10-01;10;2022;4798.84;0.0;4798.84;8154.44;-3355.6;1;7;-6;4798.84;3;25.0;9079;10;0;0;0;0;1;0;0;2022
9106;2021-03-01;3;2021;1156.0;245.0;1401.0;0.0;1401.0;6;0;6;233.5;6;6.0;9106;3;0;0;0;0;1;0;0;2021
9106;2021-04-01;4;2021;2479.0;0.0;2479.0;1401.0;1078.0;8;6;2;309.88;3;7.0;9106;4;0;0;0;0;1;0;0;2021
9106;2021-05-01;5;2021;10190.0;0.0;10190.0;2479.0;7711.0;16;8;8;636.88;3;8.0;9106;5;0;0;0;0;1;0;0;2021
9106;2021-06-01;6;2021;2922.0;0.0;2922.0;10190.0;-7268.0;9;16;-7;324.67;3;9.0;9106;6;0;0;0;0;1;0;0;2021
9106;2021-07-01;7;2021;3178.0;0.0;3178.0;2922.0;256.0;3;9;-6;1059.33;3;10.0;9106;7;0;0;0;0;1;0;0;2021
9106;2021-08-01;8;2021;7980.0;0.0;7980.0;3178.0;4802.0;3;3;0;2660.0;3;11.0;9106;8;0;0;0;0;1;0;0;2021
9106;2021-10-01;10;2021;3900.0;0.0;3900.0;0.0;3900.0;6;0;6;650.0;5;13.0;9106;10;0;0;0;0;1;0;0;2021
9106;2021-11-01;11;2021;13678.0;0.0;13678.0;3900.0;9778.0;18;6;12;759.89;3;14.0;9106;11;0;0;0;0;1;0;0;2021
9106;2021-12-01;12;2021;1418.0;0.0;1418.0;13678.0;-12260.0;1;18;-17;1418.0;3;15.0;9106;12;0;0;0;0;1;0;0;2021
9144;2022-01-01;1;2022;1267.0;0.0;1267.0;1120.0;147.0;29;43;-14;43.69;3;16.0;9144;1;0;0;0;0;1;0;0;2022
9174;2022-05-01;5;2022;390.0;0.0;390.0;0.0;390.0;1;0;1;390.0;5;20.0;9174;5;0;0;0;0;1;0;0;2022
9180;2022-01-01;1;2022;0.0;260.0;260.0;285.0;-25.0;2;4;-2;130.0;3;16.0;9180;1;0;1;0;0;0;0;0;2022
9180;2022-03-01;3;2022;153.0;0.0;153.0;0.0;153.0;1;0;1;153.0;5;18.0;9180;3;0;0;0;0;1;0;0;2022
9199;2021-02-01;2;2021;22131.0;0.0;22131.0;18697.0;3434.0;74;67;7;299.07;3;5.0;9199;2;0;0;0;0;1;0;0;2021
9199;2021-03-01;3;2021;31775.72;1040.0;32815.72;22131.0;10684.72;89;74;15;368.72;3;6.0;9199;3;0;1;0;0;0;0;0;2021
9199;2021-03-01;3;2021;31775.72;1040.0;32815.72;22131.0;10684.72;89;74;15;368.72;3;6.0;9199;3;0;0;0;0;1;0;0;2021
9199;2021-04-01;4;2021;26840.1;0.0;26840.1;32815.72;-5975.62;77;89;-12;348.57;3;7.0;9199;4;0;0;0;0;1;0;0;2021
9199;2021-05-01;5;2021;26885.0;0.0;26885.0;26840.1;44.9;76;77;-1;353.75;3;8.0;9199;5;0;0;0;0;1;0;0;2021
9199;2021-06-01;6;2021;32146.5;0.0;32146.5;26885.0;5261.5;95;76;19;338.38;3;9.0;9199;6;0;0;0;0;1;0;0;2021
9199;2021-07-01;7;2021;28140.1;0.0;28140.1;32146.5;-4006.4;84;95;-11;335.0;3;10.0;9199;7;0;0;0;0;1;0;0;2021
9199;2021-08-01;8;2021;30055.0;0.0;30055.0;28140.1;1914.9;92;84;8;326.68;3;11.0;9199;8;0;0;0;0;1;0;0;2021
9199;2021-09-01;9;2021;37562.0;0.0;37562.0;30055.0;7507.0;104;92;12;361.17;3;12.0;9199;9;0;0;0;0;1;0;0;2021
9199;2021-10-01;10;2021;21225.0;0.0;21225.0;37562.0;-16337.0;70;104;-34;303.21;3;13.0;9199;10;0;0;0;0;1;0;0;2021
9206;2022-01-01;1;2022;9162.58;0.0;9162.58;0.0;9162.58;1;0;1;9162.58;5;16.0;9206;1;0;0;0;0;1;0;0;2022
9264;2021-02-01;2;2021;9284.99;0.0;9284.99;3789.99;5495.0;177;73;104;52.46;3;5.0;9264;2;0;0;0;0;1;0;0;2021
9264;2021-03-01;3;2021;325.0;0.0;325.0;9284.99;-8959.99;7;177;-170;46.43;3;6.0;9264;3;0;0;0;0;1;0;0;2021
9264;2021-04-01;4;2021;4778.23;0.0;4778.23;325.0;4453.23;164;7;157;29.14;3;7.0;9264;4;0;0;0;0;1;0;0;2021
9264;2021-05-01;5;2021;12596.64;0.0;12596.64;4778.23;7818.41;361;164;197;34.89;3;8.0;9264;5;0;0;0;0;1;0;0;2021
9264;2021-06-01;6;2021;8310.56;0.0;8310.56;12596.64;-4286.08;233;361;-128;35.67;3;9.0;9264;6;0;0;0;0;1;0;0;2021
9264;2021-07-01;7;2021;7486.43;0.0;7486.43;8310.56;-824.13;172;233;-61;43.53;3;10.0;9264;7;0;0;0;0;1;0;0;2021
9264;2021-08-01;8;2021;5114.81;0.0;5114.81;7486.43;-2371.62;115;172;-57;44.48;3;11.0;9264;8;0;0;0;0;1;0;0;2021
9321;2022-01-01;1;2022;60.0;0.0;60.0;2476.8;-2416.8;1;5;-4;60.0;3;16.0;9321;1;0;0;0;0;1;0;0;2022
9321;2022-02-01;2;2022;700.0;0.0;700.0;60.0;640.0;1;1;0;700.0;3;17.0;9321;2;0;0;0;0;1;0;0;2022
9321;2022-03-01;3;2022;700.0;0.0;700.0;700.0;0.0;1;1;0;700.0;3;18.0;9321;3;0;0;0;0;1;0;0;2022
9321;2022-07-01;7;2022;250.0;0.0;250.0;0.0;250.0;1;0;1;250.0;5;22.0;9321;7;0;0;0;0;1;0;0;2022
9321;2022-10-01;10;2022;217.39;0.0;217.39;0.0;217.39;11;0;11;19.76;5;25.0;9321;10;0;0;0;0;1;0;0;2022
9321;2022-11-01;11;2022;28.9;0.0;28.9;217.39;-188.49;1;11;-10;28.9;3;26.0;9321;11;0;0;0;0;1;0;0;2022
9326;2021-02-01;2;2021;19422.6;0.0;19422.6;23728.8;-4306.2;32;24;8;606.96;3;5.0;9326;2;0;0;0;0;1;0;0;2021
9326;2021-03-01;3;2021;10518.91;0.0;10518.91;19422.6;-8903.69;18;32;-14;584.38;3;6.0;9326;3;0;0;0;0;1;0;0;2021
9326;2021-04-01;4;2021;1900.0;0.0;1900.0;10518.91;-8618.91;4;18;-14;475.0;3;7.0;9326;4;0;0;0;0;1;0;0;2021
9326;2021-05-01;5;2021;4878.39;0.0;4878.39;1900.0;2978.39;9;4;5;542.04;3;8.0;9326;5;0;0;0;0;1;0;0;2021
9329;2022-03-01;3;2022;53.0;0.0;53.0;0.0;53.0;1;0;1;53.0;5;18.0;9329;3;0;0;0;0;1;0;0;2022
9440;2021-02-01;2;2021;4646.0;0.0;4646.0;3430.0;1216.0;14;14;0;331.86;3;5.0;9440;2;0;0;0;0;1;0;0;2021
9440;2021-03-01;3;2021;3380.0;0.0;3380.0;4646.0;-1266.0;15;14;1;225.33;3;6.0;9440;3;0;0;0;0;1;0;0;2021
9440;2021-07-01;7;2021;900.0;0.0;900.0;0.0;900.0;3;0;3;300.0;5;10.0;9440;7;0;0;0;0;1;0;0;2021
9440;2021-08-01;8;2021;630.0;0.0;630.0;900.0;-270.0;3;3;0;210.0;3;11.0;9440;8;0;0;0;0;1;0;0;2021
9440;2021-09-01;9;2021;40.0;0.0;40.0;630.0;-590.0;1;3;-2;40.0;3;12.0;9440;9;0;0;0;0;1;0;0;2021
9440;2021-10-01;10;2021;195.0;0.0;195.0;40.0;155.0;2;1;1;97.5;3;13.0;9440;10;0;0;0;0;1;0;0;2021
9440;2021-11-01;11;2021;1600.0;0.0;1600.0;195.0;1405.0;6;2;4;266.67;3;14.0;9440;11;0;0;0;0;1;0;0;2021
9484;2021-02-01;2;2021;5624.0;0.0;5624.0;6695.0;-1071.0;54;55;-1;104.15;3;5.0;9484;2;0;0;0;0;1;0;0;2021
9484;2021-03-01;3;2021;4984.0;0.0;4984.0;5624.0;-640.0;44;54;-10;113.27;3;6.0;9484;3;0;0;0;0;1;0;0;2021
9484;2021-04-01;4;2021;4044.02;0.0;4044.02;4984.0;-939.98;39;44;-5;103.69;3;7.0;9484;4;0;0;0;0;1;0;0;2021
9484;2021-05-01;5;2021;7220.0;0.0;7220.0;4044.02;3175.98;62;39;23;116.45;3;8.0;9484;5;0;0;0;0;1;0;0;2021
9484;2021-06-01;6;2021;3581.0;0.0;3581.0;7220.0;-3639.0;39;62;-23;91.82;3;9.0;9484;6;0;0;0;0;1;0;0;2021
9484;2021-07-01;7;2021;7525.0;0.0;7525.0;3581.0;3944.0;70;39;31;107.5;3;10.0;9484;7;0;0;0;0;1;0;0;2021
9484;2021-08-01;8;2021;5220.0;0.0;5220.0;7525.0;-2305.0;47;70;-23;111.06;3;11.0;9484;8;0;0;0;0;1;0;0;2021
9484;2021-09-01;9;2021;3902.0;0.0;3902.0;5220.0;-1318.0;44;47;-3;88.68;3;12.0;9484;9;0;0;0;0;1;0;0;2021
9554;2022-02-01;2;2022;3985.0;0.0;3985.0;0.0;3985.0;8;0;8;498.13;5;16.0;9554;2;0;0;0;0;1;0;0;2022
9554;2022-03-01;3;2022;580.0;0.0;580.0;3985.0;-3405.0;2;8;-6;290.0;3;17.0;9554;3;0;0;0;0;1;0;0;2022
9559;2022-01-01;1;2022;290.83;0.0;290.83;3850.22;-3559.39;1;10;-9;290.83;3;15.0;9559;1;0;0;0;0;1;0;0;2022
9574;2021-02-01;2;2021;3150.0;0.0;3150.0;360.0;2790.0;14;4;10;225.0;3;4.0;9574;2;0;0;0;0;1;0;0;2021
9574;2021-03-01;3;2021;1640.0;0.0;1640.0;3150.0;-1510.0;9;14;-5;182.22;3;5.0;9574;3;0;0;0;0;1;0;0;2021
9574;2021-04-01;4;2021;4153.0;0.0;4153.0;1640.0;2513.0;15;9;6;276.87;3;6.0;9574;4;0;0;0;0;1;0;0;2021
9574;2021-05-01;5;2021;3190.0;0.0;3190.0;4153.0;-963.0;18;15;3;177.22;3;7.0;9574;5;0;0;0;0;1;0;0;2021
