rec_est_id;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_mf;rec_previous_month_mf;rec_previous_month_mf_delta;rec_month_qtd_mov;rec_previous_month_qtd_mov;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_monthly_category;rec_registered_month;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;ano
2023;0.0;10955.0;10955.0;15480.0;-4525.0;173;162;11;63.32;3;39.0;8;0;0;0;0;1;0;0;2022
2023;0.0;9115.0;9115.0;10955.0;-1840.0;143;173;-30;63.74;3;40.0;9;0;0;0;0;1;0;0;2022
2023;0.0;12138.0;12138.0;9115.0;3023.0;169;143;26;71.82;3;41.0;10;0;0;0;0;1;0;0;2022
2023;0.0;8977.0;8977.0;12138.0;-3161.0;133;169;-36;67.5;3;42.0;11;0;0;0;0;1;0;0;2022
2023;0.0;11505.0;11505.0;8977.0;2528.0;164;133;31;70.15;3;43.0;12;0;0;0;0;1;0;0;2022
2023;0.0;16550.0;16550.0;11505.0;5045.0;177;164;13;93.5;3;44.0;1;0;0;0;0;1;0;0;2023
2023;0.0;2255.0;2255.0;16550.0;-14295.0;31;177;-146;72.74;3;45.0;2;0;0;0;0;1;0;0;2023
2039;25001.0;0.0;25001.0;0.0;25001.0;5;0;5;5000.2;5;34.0;3;0;0;0;0;1;0;0;2022
2039;13000.0;0.0;13000.0;25001.0;-12001.0;1;5;-4;13000.0;3;35.0;4;0;0;0;0;1;0;0;2022
2057;43153.0;0.0;43153.0;40566.0;2587.0;328;366;-38;131.56;3;32.0;1;0;0;0;0;1;0;0;2022
2070;7200.0;10600.0;17800.0;26630.0;-8830.0;5;5;0;3560.0;3;32.0;1;0;0;0;0;1;0;0;2022
2070;130.0;11000.0;11130.0;17800.0;-6670.0;2;5;-3;5565.0;3;33.0;2;0;0;0;0;1;0;0;2022
2116;960.0;0.0;960.0;5208.0;-4248.0;4;22;-18;240.0;3;32.0;1;0;0;0;0;1;0;0;2022
2159;32078.98;0.0;32078.98;195176.37;-163097.39;10;54;-44;3207.9;3;32.0;1;0;0;0;0;1;0;0;2022
2181;8512.0;0.0;8512.0;7300.0;1212.0;4;2;2;2128.0;3;32.0;1;0;0;0;0;1;0;0;2022
2181;7962.0;0.0;7962.0;8512.0;-550.0;9;4;5;884.67;3;33.0;2;0;0;0;0;1;0;0;2022
2181;11288.0;0.0;11288.0;7962.0;3326.0;6;9;-3;1881.33;3;34.0;3;0;0;0;0;1;0;0;2022
2187;900.0;0.0;900.0;1150.0;-250.0;1;3;-2;900.0;3;32.0;1;0;0;0;0;1;0;0;2022
2245;67350.8;0.0;67350.8;48167.41;19183.39;155;150;5;434.52;3;32.0;1;0;0;0;0;1;0;0;2022
2245;44074.19;0.0;44074.19;67350.8;-23276.61;113;155;-42;390.04;3;33.0;2;0;0;0;0;1;0;0;2022
2245;79961.21;0.0;79961.21;44074.19;35887.02;192;113;79;416.46;3;34.0;3;0;0;0;0;1;0;0;2022
2245;70947.24;0.0;70947.24;79961.21;-9013.97;160;192;-32;443.42;3;35.0;4;0;0;0;0;1;0;0;2022
2245;46319.3;0.0;46319.3;70947.24;-24627.94;142;160;-18;326.19;3;36.0;5;0;0;0;0;1;0;0;2022
2245;48315.12;0.0;48315.12;46319.3;1995.82;145;142;3;333.21;3;37.0;6;0;0;0;0;1;0;0;2022
2245;64468.69;0.0;64468.69;48315.12;16153.57;156;145;11;413.26;3;38.0;7;0;0;0;0;1;0;0;2022
2245;65204.27;0.0;65204.27;64468.69;735.58;197;156;41;330.99;3;39.0;8;0;0;0;0;1;0;0;2022
2245;49714.45;0.0;49714.45;65204.27;-15489.82;148;197;-49;335.91;3;40.0;9;0;0;0;0;1;0;0;2022
