rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_qtd_mov;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;rec_monthly_category
1032;6;2022;0.0;26650.0;5.0;42.0;0;0;0;0;1;0;0;1;5
1032;8;2022;0.0;25897.66;4.0;44.0;0;0;0;0;1;0;0;1;5
1032;9;2022;0.0;2197.66;2.0;45.0;0;0;0;0;1;0;0;1;3
1074;3;2021;2015.0;0.0;7.0;27.0;0;0;0;0;1;0;0;1;3
1074;4;2021;5120.0;0.0;16.0;28.0;0;0;0;0;1;0;0;1;3
1074;5;2021;29300.57;0.0;35.0;29.0;0;0;0;0;1;0;0;1;3
1074;6;2021;29739.57;0.0;43.0;30.0;0;0;0;0;1;0;0;1;3
1074;7;2021;11390.0;0.0;36.0;31.0;0;0;0;0;1;0;0;1;3
1074;8;2021;14670.0;0.0;31.0;32.0;0;0;0;0;1;0;0;1;3
1074;9;2021;11809.0;0.0;26.0;33.0;0;0;0;0;1;0;0;1;3
1081;3;2021;32576.65;379.0;92.0;27.0;0;0;0;0;1;0;0;1;3
1081;4;2021;21673.699999999997;379.0;59.0;28.0;0;0;0;0;1;0;0;1;3
1081;5;2021;32688.0;0.0;88.0;29.0;0;0;0;0;1;0;0;1;3
1081;6;2021;47290.5;0.0;124.0;30.0;0;0;0;0;1;0;0;1;3
1081;7;2021;45077.899999999994;0.0;126.0;31.0;0;0;0;0;1;0;0;1;3
1081;8;2021;43800.149999999994;0.0;133.0;32.0;0;0;0;0;1;0;0;1;3
1081;9;2021;50512.1;0.0;162.0;33.0;0;0;0;0;1;0;0;1;3
1081;10;2021;52583.75;0.0;172.0;34.0;0;0;0;0;1;0;0;1;3
1081;11;2021;47958.100000000006;0.0;152.0;35.0;0;0;0;0;1;0;0;1;3
1081;12;2021;38213.79;0.0;111.0;36.0;0;0;0;0;1;0;0;1;3
1123;3;2021;125708.09;350.0;892.0;26.0;0;0;0;0;1;0;0;1;3
1123;4;2021;81833.69;350.0;620.0;27.0;0;0;0;0;1;0;0;1;3
1123;5;2021;26652.45;0.0;209.0;28.0;0;0;0;0;1;0;0;1;3
1125;4;2021;477064.87;0.0;299.0;27.0;0;0;0;0;1;0;0;1;5
1125;5;2021;218070.65999999997;0.0;95.0;28.0;0;0;0;0;1;0;0;1;3
1125;6;2021;149132.3;0.0;47.0;29.0;0;0;0;0;1;0;0;1;3
1125;7;2021;91763.16;0.0;28.0;30.0;0;0;0;0;1;0;0;1;3
1188;3;2021;4119.37;0.0;113.0;19.0;0;0;0;0;1;0;0;1;3
1188;4;2021;4412.110000000001;0.0;127.0;20.0;0;0;0;0;1;0;0;1;3
1188;5;2021;3379.71;0.0;119.0;21.0;0;0;0;0;1;0;0;1;3
1203;12;2022;2280.0;0.0;2.0;47.0;0;0;0;0;1;0;0;1;5
1203;1;2023;1095.0;0.0;2.0;48.0;0;0;0;0;1;0;0;1;3
1222;2;2022;1530.0;0.0;21.0;37.0;0;0;0;0;1;0;0;1;3
1222;4;2022;966.0;0.0;9.0;39.0;0;0;0;0;1;0;0;1;5
1317;3;2021;13088.95;94.0;200.0;25.0;0;0;0;0;1;0;0;1;3
1317;4;2021;11814.45;94.0;172.0;26.0;0;0;0;0;1;0;0;1;3
1317;5;2021;7670.4;0.0;111.0;27.0;0;0;0;0;1;0;0;1;3
1317;6;2021;6841.6;0.0;80.0;28.0;0;0;0;0;1;0;0;1;3
1317;7;2021;21874.5;0.0;271.0;29.0;0;0;0;0;1;0;0;1;3
1317;8;2021;31350.699999999997;0.0;423.0;30.0;0;0;0;0;1;0;0;1;3
