rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_previous_month_mf_delta;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;category_change;already_churn;churn_count;rec_monthly_category
20294;10;2021;1042.0;0.0;-5259.0;-1;208.4;3.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20320;1;2022;2389.5;0.0;2349.5;1;1194.75;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20322;1;2022;2350.0;0.0;-11951.0;-14;1175.0;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20361;7;2021;32.5;0.0;32.5;3;10.83;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20361;8;2021;5.1;0.0;-27.4;-1;2.55;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20379;1;2022;11996.01;0.0;3186.79;0;2999.0;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20388;7;2021;1237.0;0.0;1237.0;22;56.23;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20388;8;2021;3130.0;0.0;1893.0;56;40.13;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20388;9;2021;375.0;0.0;-2755.0;-66;31.25;2.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20389;1;2022;430.0;0.0;410.0;4;86.0;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20391;7;2021;1219.4;0.0;1219.4;48;25.4;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20391;8;2021;12288.09;0.0;11068.69;474;23.54;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20391;9;2021;6612.07;0.0;-5676.02;-161;18.32;2.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20391;10;2021;38.0;0.0;-6574.07;-360;38.0;3.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20399;1;2022;800.0;0.0;-4983.33;-2;400.0;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
